Gene	MutSig(Q-value)	# Mut	#	Freq	Is Cancer Gene (source: OncoKB)
MYLK		14	14	1.4%	No
MYO7B		15	14	1.4%	No
NF1		15	14	1.4%	Yes
PAPPA		14	14	1.4%	No
PIK3CG		14	14	1.4%	Yes
PPL		14	14	1.4%	No
RBP3		14	14	1.4%	No
SBF1		16	14	1.4%	No
SLC4A2		14	14	1.4%	No
TECTA		15	14	1.4%	No
TSC2		16	14	1.4%	Yes
ALMS1		14	14	1.4%	No
ELP1		14	14	1.4%	No
SLC6A5		16	14	1.4%	No
DGKI		14	14	1.4%	No
KCNB2		14	14	1.4%	No
HCN4		15	14	1.4%	No
FRY		14	14	1.4%	No
SHANK2		19	14	1.4%	No
SETX		17	14	1.4%	No
NBEAL2		17	14	1.4%	No
MTUS2		15	14	1.4%	No
FLRT2		14	14	1.4%	No
COL5A3		15	14	1.4%	No
UBR5		18	14	1.4%	Yes
NBAS		17	14	1.4%	No
SDK2		16	14	1.4%	No
KIF16B		15	14	1.4%	No
ASH1L		14	14	1.4%	No
PCDHA8		15	14	1.4%	No
USP28		18	14	1.4%	No
ZNF462		14	14	1.4%	No
TNN		14	14	1.4%	No
NDST4		15	14	1.4%	No
DYNC2H1		16	14	1.4%	No
MYH14		16	14	1.4%	No
LRRIQ1		15	14	1.4%	No
TNRC18		16	14	1.4%	No
TMEM132B		14	14	1.4%	No
ERICH3		16	14	1.4%	No
SLCO6A1		14	14	1.4%	No
XIRP1		16	14	1.4%	No
POM121L12		14	14	1.4%	No
EYS		15	14	1.4%	No
ABCA1		13	13	1.3%	No
ADCY8		14	13	1.3%	No
ACAN		13	13	1.3%	No
COL11A2		14	13	1.3%	No
CUX1		15	13	1.3%	Yes
DOCK2		14	13	1.3%	No
EHHADH		13	13	1.3%	No
EIF4G1		13	13	1.3%	No
FN1		14	13	1.3%	No
MTOR		15	13	1.3%	Yes
GNAS		13	13	1.3%	Yes
GRIA2		13	13	1.3%	No
GRID2		13	13	1.3%	No
GRIN2B		13	13	1.3%	No
ITPR3		15	13	1.3%	No
JAG2		14	13	1.3%	No
LAMB3		13	13	1.3%	No
LRP4		13	13	1.3%	No
AFDN		16	13	1.3%	Yes
MYBPC2		13	13	1.3%	No
MYH2		15	13	1.3%	No
CNOT3		13	13	1.3%	Yes
PLCB4		13	13	1.3%	No
POLR2A		15	13	1.3%	No
PTPRG		13	13	1.3%	No
RAG1		14	13	1.3%	No
SCN7A		13	13	1.3%	No
SCN9A		15	13	1.3%	No
ITSN1		13	13	1.3%	No
SLIT3		13	13	1.3%	No
SORL1		13	13	1.3%	No
SPTAN1		16	13	1.3%	No
SPTB		13	13	1.3%	No
SPTBN1		15	13	1.3%	No
TIAM1		13	13	1.3%	No
TLN1		14	13	1.3%	No
TNS1		13	13	1.3%	No
TPR		13	13	1.3%	Yes
DYSF		15	13	1.3%	No
HIST1H2BC		13	13	1.3%	Yes
CUL3		13	13	1.3%	Yes
CADPS		16	13	1.3%	No
CACNA1I		13	13	1.3%	No
CACNA1G		14	13	1.3%	No
PKD2L1		13	13	1.3%	No
SEMA5A		15	13	1.3%	No
NRXN3		13	13	1.3%	No
CDC42BPB		13	13	1.3%	No
PLCH2		14	13	1.3%	No
TRANK1		13	13	1.3%	No
PATJ		13	13	1.3%	No
DLC1		13	13	1.3%	No
TRIOBP		17	13	1.3%	No
NID2		13	13	1.3%	No
PLCH1		14	13	1.3%	No
MYO16		15	13	1.3%	No
CAND2		13	13	1.3%	No
HECW1		14	13	1.3%	No
PLXND1		13	13	1.3%	No
RPRD2		13	13	1.3%	No
GRIP1		13	13	1.3%	No
ADGRA2		13	13	1.3%	Yes
SALL3		13	13	1.3%	No
BAZ2B		13	13	1.3%	No
INO80		14	13	1.3%	No
SAMD9		14	13	1.3%	No
RNF43		16	13	1.3%	Yes
KIF26B		13	13	1.3%	No
SLC6A15		13	13	1.3%	No
KIRREL1		13	13	1.3%	No
PCDHB7		13	13	1.3%	No
PCDHA4		14	13	1.3%	No
SEMA6A		14	13	1.3%	No
ZDBF2		15	13	1.3%	No
SPTBN4		13	13	1.3%	No
SSH2		16	13	1.3%	No
ANKRD30A		13	13	1.3%	No
NUP210L		14	13	1.3%	No
WDR17		13	13	1.3%	No
CPXM2		14	13	1.3%	No
ANO4		13	13	1.3%	No
NLRP4		13	13	1.3%	No
CCDC80		14	13	1.3%	No
FGD5		14	13	1.3%	No
FREM1		13	13	1.3%	No
PRUNE2		15	13	1.3%	No
MDGA2		15	13	1.3%	No
ARID2		13	13	1.3%	Yes
SAMD9L		13	13	1.3%	No
OR5AS1		13	13	1.3%	No
KCNT2		14	13	1.3%	No
UNC13C		15	13	1.3%	No
ABCA4		12	12	1.2%	No
ACACB		12	12	1.2%	No
ADCY6		12	12	1.2%	No
ATRX		12	12	1.2%	Yes
C6		12	12	1.2%	No
CAD		19	12	1.2%	Yes
CNGA4		12	12	1.2%	No
COL4A1		14	12	1.2%	No
COL4A2		13	12	1.2%	No
CSPG4		12	12	1.2%	No
DMXL1		12	12	1.2%	No
DOCK3		12	12	1.2%	No
EPHA5		12	12	1.2%	Yes
EPRS		12	12	1.2%	No
BPTF		12	12	1.2%	No
GLI1		12	12	1.2%	Yes
GLI2		13	12	1.2%	No
GRM8		12	12	1.2%	No
GUCY1A2		12	12	1.2%	No
HTT		13	12	1.2%	No
HIVEP2		16	12	1.2%	No
ITGAX		12	12	1.2%	No
ITPR2		13	12	1.2%	No
KCNMA1		12	12	1.2%	No
LPA		17	12	1.2%	No
MAP1A		13	12	1.2%	No
MET		12	12	1.2%	Yes
MUC6		12	12	1.2%	No
MYH10		13	12	1.2%	No
MYH11		14	12	1.2%	Yes
MYO9B		13	12	1.2%	No
NOS2		14	12	1.2%	No
NOTCH2		13	12	1.2%	Yes
NTRK3		12	12	1.2%	Yes
PLXNA1		18	12	1.2%	No
PTPRF		14	12	1.2%	No
PTPRO		13	12	1.2%	Yes
PTPRZ1		14	12	1.2%	No
KDM5A		13	12	1.2%	Yes
SCN8A		12	12	1.2%	No
SON		12	12	1.2%	No
TCHH		12	12	1.2%	No
TNR		12	12	1.2%	No
TRPM2		14	12	1.2%	No
USP7		14	12	1.2%	No
PPFIA2		12	12	1.2%	No
CNTNAP1		13	12	1.2%	No
NDST2		12	12	1.2%	No
GBF1		12	12	1.2%	No
MYH13		13	12	1.2%	No
MYOM1		12	12	1.2%	No
MGAM		13	12	1.2%	Yes
OTOF		14	12	1.2%	No
AKAP6		12	12	1.2%	No
CROCC		13	12	1.2%	No
RIMS2		13	12	1.2%	No
PCDHA9		13	12	1.2%	No
ABCA7		13	12	1.2%	No
PRPF8		13	12	1.2%	No
NRG3		12	12	1.2%	No
GCN1		13	12	1.2%	No
FRMPD1		13	12	1.2%	No
NINL		13	12	1.2%	No
IGSF9B		12	12	1.2%	No
MAPK8IP3		12	12	1.2%	No
NUP210		15	12	1.2%	No
ANKRD12		12	12	1.2%	No
ADGRL2		14	12	1.2%	No
HECTD1		14	12	1.2%	No
SLITRK5		12	12	1.2%	No
ANKRD17		12	12	1.2%	No
CYFIP2		12	12	1.2%	No
ZNF638		12	12	1.2%	No
CPSF1		12	12	1.2%	No
PDZRN4		12	12	1.2%	No
ZNF107		24	12	1.2%	No
BRWD1		13	12	1.2%	No
VPS13C		12	12	1.2%	No
PHIP		14	12	1.2%	No
SETD5		16	12	1.2%	Yes
ASXL2		12	12	1.2%	Yes
ZC3HAV1		12	12	1.2%	No
DSCAML1		12	12	1.2%	No
KIAA1211		13	12	1.2%	No
MICAL3		13	12	1.2%	No
EP400		13	12	1.2%	Yes
KIAA1549		12	12	1.2%	No
CHD8		16	12	1.2%	No
ARHGAP22		12	12	1.2%	No
DLGAP3		12	12	1.2%	No
CDH23		12	12	1.2%	No
PCNX2		13	12	1.2%	No
NBPF3		28	12	1.2%	No
CARD11		15	12	1.2%	Yes
NEURL4		13	12	1.2%	No
KDM2B		12	12	1.2%	Yes
DOCK7		13	12	1.2%	No
NAV3		15	12	1.2%	No
PLXNA4		13	12	1.2%	No
LRRC4B		12	12	1.2%	No
LMTK3		13	12	1.2%	No
COL6A6		12	12	1.2%	No
DCAF4L2		12	12	1.2%	No
ANKAR		14	12	1.2%	No
CAMSAP1		14	12	1.2%	No
FAM47B		12	12	1.2%	No
ADAMTS16		13	12	1.2%	No
WDR90		13	12	1.2%	Yes
USF3		14	12	1.2%	No
JMJD1C		12	12	1.2%	No
THSD7A		15	12	1.2%	No
CFAP65		12	12	1.2%	No
MYO1H		12	12	1.2%	No
CRB2		12	12	1.2%	No
TRIM42		12	12	1.2%	No
ATP13A5		12	12	1.2%	No
PRSS48		18	12	1.2%	No
SLCO4C1		12	12	1.2%	No
BOLA2		14	12	1.2%	No
RERE		11	11	1.1%	No
ADGRB2		13	11	1.1%	No
CACNA1S		12	11	1.1%	No
LRBA		15	11	1.1%	No
CENPF		12	11	1.1%	No
COL1A1		12	11	1.1%	Yes
COL5A2		12	11	1.1%	No
COL15A1		13	11	1.1%	No
DGKB		11	11	1.1%	No
DBH		11	11	1.1%	No
EPHA3		11	11	1.1%	Yes
GABRB1		11	11	1.1%	No
GABRB2		11	11	1.1%	No
RAPGEF1		11	11	1.1%	No
GYS1		12	11	1.1%	No
LAMB2		17	11	1.1%	No
LCT		14	11	1.1%	No
LTBP1		11	11	1.1%	No
LTBP2		12	11	1.1%	No
MCC		11	11	1.1%	No
NR3C2		11	11	1.1%	No
TRPM1		14	11	1.1%	No
MSH3		12	11	1.1%	Yes
MYBPC3		11	11	1.1%	No
MYH3		11	11	1.1%	No
MYO1A		11	11	1.1%	No
NOTCH1		13	11	1.1%	Yes
NOTCH3		12	11	1.1%	Yes
ROR2		11	11	1.1%	No
PAX6		11	11	1.1%	No
ABCB1		13	11	1.1%	No
PLCL1		11	11	1.1%	No
PLXNB1		11	11	1.1%	No
PTPRH		11	11	1.1%	No
SCN3A		14	11	1.1%	No
SMARCA1		11	11	1.1%	Yes
STAT3		11	11	1.1%	Yes
SVIL		11	11	1.1%	No
ZEB1		12	11	1.1%	No
THBS2		13	11	1.1%	No
TRPC4		11	11	1.1%	No
UTRN		13	11	1.1%	No
USP9X		11	11	1.1%	No
USP9Y		11	11	1.1%	No
IRS2		12	11	1.1%	Yes
MATN4		11	11	1.1%	No
MCM3AP		14	11	1.1%	No
TRPA1		11	11	1.1%	No
KALRN		14	11	1.1%	No
DLGAP1		11	11	1.1%	No
TSPOAP1		13	11	1.1%	No
TRIP12		11	11	1.1%	No
NRXN2		11	11	1.1%	No
KIF20B		12	11	1.1%	No
AKAP12		11	11	1.1%	No
ARHGEF10		12	11	1.1%	No
AQR		12	11	1.1%	No
DOCK4		12	11	1.1%	No
CEP350		18	11	1.1%	No
SETDB1		11	11	1.1%	Yes
TECPR2		11	11	1.1%	No
HDAC5		11	11	1.1%	No
PKDREJ		11	11	1.1%	No
NOD1		12	11	1.1%	Yes
MYBBP1A		11	11	1.1%	No
RAI1		12	11	1.1%	No
LILRB1		11	11	1.1%	No
WDR6		12	11	1.1%	No
LAMB4		12	11	1.1%	No
LIMCH1		11	11	1.1%	No
SNRNP200		11	11	1.1%	No
MON2		12	11	1.1%	No
TNIK		13	11	1.1%	No
ERC1		11	11	1.1%	Yes
ZC3H13		11	11	1.1%	No
DNAJC13		13	11	1.1%	No
WDR7		12	11	1.1%	No
SMCHD1		12	11	1.1%	No
SF3B1		11	11	1.1%	Yes
PHF3		11	11	1.1%	No
DAAM2		11	11	1.1%	No
RIMBP2		11	11	1.1%	No
ZMYND8		15	11	1.1%	No
VIRMA		11	11	1.1%	No
MOXD1		11	11	1.1%	No
SIPA1L1		14	11	1.1%	No
CNTNAP2		11	11	1.1%	No
AUTS2		11	11	1.1%	No
KCNV1		11	11	1.1%	No
KCNH5		11	11	1.1%	No
AHDC1		12	11	1.1%	No
HIPK2		15	11	1.1%	No
SPTBN5		12	11	1.1%	No
KDM3B		11	11	1.1%	No
SNTG1		11	11	1.1%	No
KIF21A		11	11	1.1%	No
DOCK10		12	11	1.1%	No
RADIL		11	11	1.1%	No
KMT2E		11	11	1.1%	No
PCDHB12		11	11	1.1%	No
PCDHB6		11	11	1.1%	No
PCDHAC2		13	11	1.1%	No
PCDHA12		11	11	1.1%	No
PCDHA1		13	11	1.1%	No
TEX15		12	11	1.1%	No
ZNFX1		14	11	1.1%	No
ATP10A		12	11	1.1%	No
PRR12		11	11	1.1%	No
PLEKHG1		12	11	1.1%	No
CGN		12	11	1.1%	No
SIPA1L2		12	11	1.1%	No
MYH7B		12	11	1.1%	No
LRRC4C		11	11	1.1%	No
SEMA4G		12	11	1.1%	No
PAPPA2		11	11	1.1%	No
RHBDF1		11	11	1.1%	No
ARAP3		11	11	1.1%	No
LRRK1		11	11	1.1%	No
ARMC5		12	11	1.1%	No
ATAD5		12	11	1.1%	No
FCRL5		12	11	1.1%	No
MEGF10		11	11	1.1%	No
KCNH7		12	11	1.1%	No
ABCC12		12	11	1.1%	No
MED12L		11	11	1.1%	No
PARD3B		12	11	1.1%	No
TMEM132D		11	11	1.1%	No
NLRP5		12	11	1.1%	No
TSHZ2		11	11	1.1%	No
SPATA18		11	11	1.1%	No
PYHIN1		11	11	1.1%	No
CCT8L2		11	11	1.1%	No
AMZ1		11	11	1.1%	No
LINGO2		13	11	1.1%	No
EML5		11	11	1.1%	No
TOGARAM2		12	11	1.1%	No
PRICKLE2		13	11	1.1%	No
TET3		13	11	1.1%	Yes
NRK		11	11	1.1%	No
ANO5		11	11	1.1%	No
EPHA10		12	11	1.1%	No
FRYL		13	11	1.1%	No
AADACL4		12	11	1.1%	No
MIA3		11	11	1.1%	No
MAST4		11	11	1.1%	No
PCNX3		16	11	1.1%	No
IQSEC3		11	11	1.1%	No
A2M		10	10	1.0%	No
ATP2B2		10	10	1.0%	No
ATR		10	10	1.0%	Yes
BCL9		11	10	1.0%	Yes
C3		11	10	1.0%	No
CACNA1C		11	10	1.0%	No
CD1E		10	10	1.0%	No
CDH6		11	10	1.0%	No
CDH9		10	10	1.0%	No
CDH12		10	10	1.0%	No
CES1		10	10	1.0%	No
CHRNA4		10	10	1.0%	No
COL16A1		13	10	1.0%	No
CTNND2		11	10	1.0%	No
CYP11B1		10	10	1.0%	No
DNMT3B		10	10	1.0%	Yes
EGFR		10	10	1.0%	Yes
EPHA1		12	10	1.0%	No
ETV3		10	10	1.0%	No
MECOM		10	10	1.0%	Yes
EYA1		10	10	1.0%	No
FLNA		12	10	1.0%	No
FLT1		10	10	1.0%	Yes
FLT4		11	10	1.0%	Yes
FSHR		10	10	1.0%	No
GJA8		10	10	1.0%	No
GOLGB1		12	10	1.0%	No
GRM7		10	10	1.0%	No
MSH6		11	10	1.0%	Yes
IFI16		10	10	1.0%	No
IL6ST		12	10	1.0%	Yes
IRS1		10	10	1.0%	Yes
ITGA4		10	10	1.0%	No
ITGB4		12	10	1.0%	No
KCND2		10	10	1.0%	No
LAMC1		11	10	1.0%	No
LTBP3		10	10	1.0%	No
CIITA		11	10	1.0%	Yes
AFF1		11	10	1.0%	Yes
MMP16		10	10	1.0%	No
MN1		11	10	1.0%	Yes
MYH9		12	10	1.0%	Yes
MYO7A		10	10	1.0%	No
MYO10		12	10	1.0%	No
NELL1		10	10	1.0%	No
NRAP		11	10	1.0%	No
NRCAM		10	10	1.0%	No
NTRK1		13	10	1.0%	Yes
ENPP2		10	10	1.0%	No
PER1		12	10	1.0%	Yes
PIK3C2B		11	10	1.0%	Yes
PIK3CB		10	10	1.0%	Yes
PIK3R1		10	10	1.0%	Yes
PIK3R2		10	10	1.0%	Yes
PLA2G4A		10	10	1.0%	No
PML		10	10	1.0%	Yes
POLE		12	10	1.0%	Yes
PTGS2		11	10	1.0%	No
PTK7		10	10	1.0%	Yes
ARID4A		12	10	1.0%	Yes
REV3L		12	10	1.0%	No
RFC1		12	10	1.0%	No
RGS7		10	10	1.0%	No
ROCK1		10	10	1.0%	No
SCN4A		11	10	1.0%	No
SLC12A3		10	10	1.0%	No
SMARCA2		10	10	1.0%	Yes
SNAPC4		10	10	1.0%	No
ABCC8		12	10	1.0%	No
TBCD		10	10	1.0%	No
THBS3		11	10	1.0%	No
TMPRSS2		11	10	1.0%	Yes
TP53BP2		10	10	1.0%	No
TPO		10	10	1.0%	No
TUBA3C		11	10	1.0%	No
WNT2		10	10	1.0%	No
ZNF91		18	10	1.0%	No
ZNF142		10	10	1.0%	No
ZBTB16		10	10	1.0%	Yes
LTBP4		10	10	1.0%	No
ITGA10		12	10	1.0%	No
PTCH2		10	10	1.0%	No
EIF4G3		11	10	1.0%	No
NRP2		10	10	1.0%	No
ARHGEF1		10	10	1.0%	No
MAGI1		11	10	1.0%	No
