Gene	MutSig(Q-value)	# Mut	#	Freq	Is Cancer Gene (source: OncoKB)
XIRP2		17	17	3.8%	No
ASPM		17	17	3.8%	No
DYNC1H1		19	16	3.6%	No
RB1		17	16	3.6%	Yes
RP1		17	16	3.6%	No
BSN		17	16	3.6%	No
CDH23		17	16	3.6%	No
PCDH15		16	16	3.6%	No
AHNAK		16	16	3.6%	No
ADAMTS12		16	16	3.6%	No
WDR87		17	16	3.6%	No
FNDC1		17	16	3.6%	No
PKHD1L1		16	16	3.6%	No
FAM186A		19	16	3.6%	No
FLG2		17	16	3.6%	No
APOB		15	15	3.4%	No
COL12A1		15	15	3.4%	No
CTNNA2		16	15	3.4%	No
DNAH5		16	15	3.4%	No
FBN2		15	15	3.4%	No
GNAS		15	15	3.4%	Yes
HSPG2		15	15	3.4%	No
PLXNB1		15	15	3.4%	No
HERC1		17	15	3.4%	No
PDE4DIP		15	15	3.4%	Yes
TNIK		17	15	3.4%	No
RNF213		16	15	3.4%	Yes
WDFY4		15	15	3.4%	No
SVEP1		19	15	3.4%	No
EYS		18	15	3.4%	No
COL11A1		14	14	3.2%	No
CPS1		15	14	3.2%	Yes
DNAH6		14	14	3.2%	No
CELSR3		16	14	3.2%	No
MEGF8		14	14	3.2%	No
FAT2		14	14	3.2%	No
FLNC		16	14	3.2%	No
LAMA5		15	14	3.2%	No
PIK3CA		14	14	3.2%	Yes
PLXNA2		15	14	3.2%	No
PRKDC		17	14	3.2%	Yes
RELN		15	14	3.2%	Yes
ROBO2		14	14	3.2%	No
PIEZO1		15	14	3.2%	No
SMC4		14	14	3.2%	No
CNOT1		16	14	3.2%	No
SETD1B		14	14	3.2%	Yes
CNTN6		14	14	3.2%	No
CPSF1		14	14	3.2%	No
PCDHA10		14	14	3.2%	No
DNAH7		16	14	3.2%	No
TENM2		15	14	3.2%	No
PREX2		16	14	3.2%	Yes
KIAA1109		14	14	3.2%	No
CNTNAP5		15	14	3.2%	No
LAMA1		15	14	3.2%	No
CACNA1A		13	13	2.9%	No
CACNA1B		14	13	2.9%	No
CHD4		14	13	2.9%	Yes
EPHA5		13	13	2.9%	Yes
GRM3		14	13	2.9%	Yes
IGF2R		15	13	2.9%	No
MYH2		14	13	2.9%	No
SIGLEC1		13	13	2.9%	No
SPTBN2		13	13	2.9%	No
USP7		13	13	2.9%	No
CELSR1		13	13	2.9%	No
MYO16		15	13	2.9%	No
SMG1		14	13	2.9%	Yes
GSE1		15	13	2.9%	No
UBR4		14	13	2.9%	No
DNAH1		13	13	2.9%	No
SACS		13	13	2.9%	No
SHANK1		14	13	2.9%	No
NYNRIN		13	13	2.9%	No
ADGRV1		13	13	2.9%	No
NAV2		13	13	2.9%	No
ZNF831		14	13	2.9%	No
MROH2B		14	13	2.9%	No
PXDNL		14	13	2.9%	No
TAF1L		14	13	2.9%	No
COL22A1		14	13	2.9%	No
BOD1L1		13	13	2.9%	No
IGSF10		15	13	2.9%	No
ABCA2		14	12	2.7%	No
CRYBG1		13	12	2.7%	No
CHD1		12	12	2.7%	No
COL6A3		12	12	2.7%	No
DMD		12	12	2.7%	No
ERF		14	12	2.7%	Yes
GRM4		12	12	2.7%	No
JAK1		19	12	2.7%	Yes
LRP1		12	12	2.7%	No
KMT2A		15	12	2.7%	Yes
TRPM1		13	12	2.7%	No
MUC6		13	12	2.7%	No
NOTCH4		12	12	2.7%	Yes
RBP3		12	12	2.7%	No
TCHH		13	12	2.7%	No
TRPM2		12	12	2.7%	No
VWF		12	12	2.7%	No
PPFIA2		12	12	2.7%	No
DNAH17		14	12	2.7%	No
CACNA1H		14	12	2.7%	No
ZMYM3		14	12	2.7%	Yes
NRXN3		14	12	2.7%	No
NCOR1		13	12	2.7%	Yes
NCOR2		14	12	2.7%	Yes
ZNF536		12	12	2.7%	No
TRIOBP		12	12	2.7%	No
LAMB4		12	12	2.7%	No
SPEN		12	12	2.7%	Yes
UNC13A		13	12	2.7%	No
SIPA1L3		12	12	2.7%	No
KAT6B		13	12	2.7%	Yes
TENM4		12	12	2.7%	No
CHD5		12	12	2.7%	No
PCDH17		12	12	2.7%	No
FAM135B		12	12	2.7%	No
SDK2		12	12	2.7%	No
CASZ1		13	12	2.7%	No
FMN2		13	12	2.7%	No
KIAA1549		13	12	2.7%	No
PIEZO2		14	12	2.7%	No
ASXL3		12	12	2.7%	No
CHD6		13	12	2.7%	No
MYPN		13	12	2.7%	No
MYO18B		12	12	2.7%	No
LOXHD1		12	12	2.7%	No
DNHD1		13	12	2.7%	No
ZNF780B		18	12	2.7%	No
SAMD9L		12	12	2.7%	No
NALCN		13	12	2.7%	No
ADGRB3		12	11	2.5%	No
BMP6		11	11	2.5%	No
COL4A2		12	11	2.5%	No
COL7A1		14	11	2.5%	No
DCC		11	11	2.5%	No
DOCK3		11	11	2.5%	No
CELSR2		11	11	2.5%	No
FASN		11	11	2.5%	No
FAT1		11	11	2.5%	Yes
FN1		12	11	2.5%	No
GLI2		12	11	2.5%	No
HIVEP2		13	11	2.5%	No
ITGAX		11	11	2.5%	No
LAMA2		11	11	2.5%	No
MKI67		12	11	2.5%	Yes
PLXNA1		12	11	2.5%	No
PTPRC		11	11	2.5%	Yes
SPTAN1		14	11	2.5%	No
TRIO		11	11	2.5%	No
KDM6A		12	11	2.5%	Yes
PRRC2A		12	11	2.5%	No
ARID1A		13	11	2.5%	Yes
DYSF		11	11	2.5%	No
MYOM1		11	11	2.5%	No
HERC2		15	11	2.5%	No
MGAM		11	11	2.5%	Yes
KCNB2		11	11	2.5%	No
DOCK4		11	11	2.5%	No
MED12		11	11	2.5%	Yes
HCN4		11	11	2.5%	No
DLC1		11	11	2.5%	No
ARPP21		11	11	2.5%	No
ADAM29		11	11	2.5%	No
SCN11A		11	11	2.5%	No
PLCH1		11	11	2.5%	No
PDZD2		14	11	2.5%	No
HECW1		12	11	2.5%	No
STAB1		13	11	2.5%	No
DIP2A		12	11	2.5%	No
MTUS2		11	11	2.5%	No
TTC28		12	11	2.5%	No
SZT2		12	11	2.5%	No
ZFPM2		12	11	2.5%	No
ZFYVE26		11	11	2.5%	No
KIAA1549L		11	11	2.5%	No
ZNF521		11	11	2.5%	Yes
CPAMD8		11	11	2.5%	No
UTP20		11	11	2.5%	No
ANKRD11		11	11	2.5%	Yes
CARD10		11	11	2.5%	No
SAMD9		11	11	2.5%	No
ANKHD1		12	11	2.5%	No
RNF43		15	11	2.5%	Yes
KIF26B		11	11	2.5%	No
DSCAML1		13	11	2.5%	No
ARID1B		11	11	2.5%	Yes
MICAL3		11	11	2.5%	No
JCAD		12	11	2.5%	No
DLGAP3		11	11	2.5%	No
FRAS1		14	11	2.5%	No
CHD9		11	11	2.5%	No
CNTNAP4		11	11	2.5%	No
TMEM132C		11	11	2.5%	No
DNAH14		12	11	2.5%	No
PRUNE2		11	11	2.5%	No
PIKFYVE		11	11	2.5%	No
CMYA5		11	11	2.5%	No
BCL9L		11	11	2.5%	Yes
UNC80		12	11	2.5%	No
IQSEC3		11	11	2.5%	No
KIAA0754		12	11	2.5%	No
ADGRB1		11	10	2.3%	No
CDH11		10	10	2.3%	Yes
COL5A1		11	10	2.3%	No
COL6A2		12	10	2.3%	No
COL11A2		10	10	2.3%	No
DNAH9		10	10	2.3%	No
DSP		10	10	2.3%	No
KCNMA1		10	10	2.3%	No
LAMB3		10	10	2.3%	No
MYH6		12	10	2.3%	No
MYO7A		10	10	2.3%	No
MYO7B		10	10	2.3%	No
NOTCH1		10	10	2.3%	Yes
PLCG2		10	10	2.3%	Yes
PPL		10	10	2.3%	No
PTPRS		11	10	2.3%	Yes
RGS12		10	10	2.3%	No
ROS1		10	10	2.3%	Yes
TECTA		10	10	2.3%	No
THBS2		11	10	2.3%	No
THBS3		10	10	2.3%	No
TRPS1		10	10	2.3%	No
TRRAP		10	10	2.3%	Yes
TRPA1		10	10	2.3%	No
KALRN		12	10	2.3%	No
NRXN2		10	10	2.3%	No
ZNF646		17	10	2.3%	No
BCLAF1		15	10	2.3%	No
PATJ		10	10	2.3%	No
SRCAP		10	10	2.3%	No
GCN1		10	10	2.3%	No
CNTRL		10	10	2.3%	Yes
FRMPD1		10	10	2.3%	No
IGSF9B		10	10	2.3%	No
CUL9		11	10	2.3%	No
MAST2		11	10	2.3%	No
MDN1		10	10	2.3%	No
CAMTA1		11	10	2.3%	Yes
ADGRL3		10	10	2.3%	No
DAAM2		10	10	2.3%	No
TMEM131		11	10	2.3%	No
CNTNAP2		11	10	2.3%	No
ANKRD17		11	10	2.3%	No
KCNH5		10	10	2.3%	No
ZNF638		10	10	2.3%	No
ATAD2		10	10	2.3%	No
PDZRN4		10	10	2.3%	No
STAB2		11	10	2.3%	No
KIAA1211		11	10	2.3%	No
SEMA6A		10	10	2.3%	No
MYH7B		10	10	2.3%	No
ZDBF2		11	10	2.3%	No
ARHGAP22		10	10	2.3%	No
TNN		10	10	2.3%	No
CPLANE1		12	10	2.3%	No
DYNC2H1		11	10	2.3%	No
LRRK1		10	10	2.3%	No
MYH14		10	10	2.3%	No
ADAMTS20		10	10	2.3%	No
THSD7B		10	10	2.3%	No
COL18A1		10	10	2.3%	No
ZNF469		11	10	2.3%	No
TNRC18		10	10	2.3%	No
KDM2B		10	10	2.3%	Yes
NAV3		12	10	2.3%	No
ZNF804A		10	10	2.3%	No
TMEM132B		10	10	2.3%	No
SORCS1		10	10	2.3%	No
ERICH3		10	10	2.3%	No
MYOM3		11	10	2.3%	No
CRYBG3		12	10	2.3%	No
ZNF786		10	10	2.3%	No
SOGA1		11	10	2.3%	No
ADGRF3		10	10	2.3%	No
ASXL1		11	10	2.3%	Yes
FRYL		11	10	2.3%	No
HCN1		11	10	2.3%	No
EFCAB5		10	10	2.3%	No
SPATA31D1		11	10	2.3%	No
ABCA1		10	9	2.0%	No
ADCY2		9	9	2.0%	No
ADCY5		9	9	2.0%	No
ADCY8		9	9	2.0%	No
ATP2B4		9	9	2.0%	No
ADGRB2		10	9	2.0%	No
CACNA1C		9	9	2.0%	No
CACNA1S		9	9	2.0%	No
CENPF		9	9	2.0%	No
COL4A1		11	9	2.0%	No
COL15A1		10	9	2.0%	No
CSPG4		9	9	2.0%	No
EPRS		9	9	2.0%	No
FLNB		9	9	2.0%	No
AFF2		9	9	2.0%	No
GAD2		10	9	2.0%	No
KAT2A		9	9	2.0%	No
GRM1		9	9	2.0%	No
GRM5		9	9	2.0%	No
GRM8		9	9	2.0%	No
GYS1		9	9	2.0%	No
GUCY2D		9	9	2.0%	No
ITGAM		9	9	2.0%	No
LIPE		10	9	2.0%	No
MYH1		10	9	2.0%	No
NF1		10	9	2.0%	Yes
NPR2		9	9	2.0%	No
PCDH7		10	9	2.0%	No
PCNT		9	9	2.0%	No
PER1		10	9	2.0%	Yes
PIK3CB		9	9	2.0%	Yes
PKD1		9	9	2.0%	No
PLCG1		10	9	2.0%	Yes
PRIM2		9	9	2.0%	No
PTPRD		9	9	2.0%	Yes
PTPRZ1		10	9	2.0%	No
RANBP2		10	9	2.0%	Yes
SCN1A		11	9	2.0%	No
SCN10A		9	9	2.0%	No
SI		9	9	2.0%	No
SLC4A2		9	9	2.0%	No
SLC12A3		9	9	2.0%	No
SPTB		9	9	2.0%	No
TNXB		10	9	2.0%	No
COL14A1		9	9	2.0%	No
WNT2		9	9	2.0%	No
ELP1		9	9	2.0%	No
IRS2		10	9	2.0%	Yes
MYH13		11	9	2.0%	No
SEMA5A		9	9	2.0%	No
DGKI		9	9	2.0%	No
MSC		9	9	2.0%	No
PLCH2		9	9	2.0%	No
CROCC		10	9	2.0%	No
ARHGEF17		9	9	2.0%	No
MAGEC1		9	9	2.0%	No
MVP		9	9	2.0%	No
MED13		9	9	2.0%	No
FRY		9	9	2.0%	No
APC2		9	9	2.0%	No
ABCA7		9	9	2.0%	No
NOD1		9	9	2.0%	Yes
ALDH1L1		9	9	2.0%	No
SBNO2		9	9	2.0%	No
SHANK2		11	9	2.0%	No
WDFY3		11	9	2.0%	No
MON2		9	9	2.0%	No
MYCBP2		9	9	2.0%	No
KIF1B		9	9	2.0%	No
PRRC2C		9	9	2.0%	No
PLCL2		9	9	2.0%	No
JADE2		9	9	2.0%	No
ABCA5		9	9	2.0%	No
NIPBL		9	9	2.0%	No
PTPN23		9	9	2.0%	No
C10ORF12		9	9	2.0%	No
FBXO24		9	9	2.0%	No
DROSHA		10	9	2.0%	Yes
COL5A3		9	9	2.0%	No
RIPK4		9	9	2.0%	No
ADAMTSL4		10	9	2.0%	No
ASXL2		9	9	2.0%	Yes
NBPF1		9	9	2.0%	No
PCDHA4		9	9	2.0%	No
ATP10A		10	9	2.0%	No
DOCK6		9	9	2.0%	No
PCDH10		9	9	2.0%	No
PITPNM2		10	9	2.0%	No
TSHZ3		9	9	2.0%	No
EP400		10	9	2.0%	Yes
USP28		10	9	2.0%	No
CHD8		12	9	2.0%	No
PRX		9	9	2.0%	No
SPTBN4		9	9	2.0%	No
NSD1		9	9	2.0%	Yes
TNS3		9	9	2.0%	No
CARD14		9	9	2.0%	No
E2F8		9	9	2.0%	No
ARMC5		9	9	2.0%	No
ATAD5		9	9	2.0%	No
TRPM3		9	9	2.0%	No
HKDC1		9	9	2.0%	No
SRCIN1		9	9	2.0%	No
FCRL5		9	9	2.0%	No
TLN2		9	9	2.0%	No
CARD11		10	9	2.0%	Yes
LOXL3		10	9	2.0%	No
ELMSAN1		9	9	2.0%	No
LRRC4B		9	9	2.0%	No
MED12L		9	9	2.0%	No
KLHL40		9	9	2.0%	No
SLCO6A1		9	9	2.0%	No
PYHIN1		9	9	2.0%	No
FGD5		9	9	2.0%	No
FAM83B		9	9	2.0%	No
OR5F1		10	9	2.0%	No
OTOG		9	9	2.0%	No
KCNT2		9	9	2.0%	No
PRSS48		14	9	2.0%	No
SOGA3		9	9	2.0%	No
CCDC88C		11	9	2.0%	No
UNC13C		9	9	2.0%	No
ABCA4		8	8	1.8%	No
ACVR2A		9	8	1.8%	Yes
ADCY6		8	8	1.8%	No
AMPD2		8	8	1.8%	No
BCL9		8	8	1.8%	Yes
BRCA1		10	8	1.8%	Yes
ZFP36L2		8	8	1.8%	No
C6		8	8	1.8%	No
CASR		9	8	1.8%	No
COL4A4		8	8	1.8%	No
CUX1		9	8	1.8%	Yes
CYP11B1		8	8	1.8%	No
DAG1		8	8	1.8%	No
DGKB		9	8	1.8%	No
DPP6		8	8	1.8%	No
EPHB1		8	8	1.8%	Yes
EYA1		10	8	1.8%	No
FGD1		8	8	1.8%	No
GRIN2B		8	8	1.8%	No
GRM6		8	8	1.8%	No
INSRR		8	8	1.8%	No
ITPR2		9	8	1.8%	No
KCNH1		9	8	1.8%	No
KIF5A		8	8	1.8%	No
LAMA3		8	8	1.8%	No
LAMA4		8	8	1.8%	No
LRP4		8	8	1.8%	No
MCC		8	8	1.8%	No
MYBPC2		9	8	1.8%	No
MYBPC3		8	8	1.8%	No
MYH4		8	8	1.8%	No
NHS		8	8	1.8%	No
NID1		8	8	1.8%	No
NPR1		8	8	1.8%	No
PABPC3		8	8	1.8%	No
PHF2		9	8	1.8%	No
PIK3CG		9	8	1.8%	Yes
PMS1		8	8	1.8%	Yes
PTPN14		8	8	1.8%	No
PTPRF		8	8	1.8%	No
PYGB		8	8	1.8%	No
ARID4A		8	8	1.8%	Yes
SCN3A		10	8	1.8%	No
SCN8A		8	8	1.8%	No
SCN9A		10	8	1.8%	No
ITSN1		8	8	1.8%	No
SLC8A2		9	8	1.8%	No
TCF20		8	8	1.8%	No
TIAM1		8	8	1.8%	No
TSC2		8	8	1.8%	Yes
CUBN		9	8	1.8%	No
SYMPK		8	8	1.8%	No
USP9Y		8	8	1.8%	No
LTBP4		8	8	1.8%	No
MATN4		8	8	1.8%	No
MCM3AP		9	8	1.8%	No
BAIAP3		10	8	1.8%	No
MTMR4		9	8	1.8%	No
MTA1		8	8	1.8%	No
MAGI1		8	8	1.8%	No
TSPOAP1		8	8	1.8%	No
NRXN1		8	8	1.8%	No
ARHGAP29		8	8	1.8%	No
EIF2AK3		8	8	1.8%	No
SLC4A7		8	8	1.8%	No
CDC42BPB		9	8	1.8%	No
TTC37		8	8	1.8%	No
RIMS2		8	8	1.8%	No
USP34		9	8	1.8%	No
KMT2B		8	8	1.8%	Yes
ELMO1		8	8	1.8%	No
HUWE1		8	8	1.8%	No
EDIL3		8	8	1.8%	No
MYBBP1A		8	8	1.8%	No
TACC2		9	8	1.8%	No
SLC12A7		8	8	1.8%	No
LILRB1		8	8	1.8%	No
SLC26A1		8	8	1.8%	No
DIDO1		9	8	1.8%	No
ADAMTS5		8	8	1.8%	No
SUPT16H		8	8	1.8%	No
NID2		8	8	1.8%	No
LMTK2		8	8	1.8%	No
SLITRK3		9	8	1.8%	No
ZSWIM8		9	8	1.8%	No
CAND2		8	8	1.8%	No
PPRC1		8	8	1.8%	No
NUP210		9	8	1.8%	No
WWC1		9	8	1.8%	No
ANKS1A		8	8	1.8%	No
UBR2		8	8	1.8%	No
ARHGEF18		8	8	1.8%	No
ICE1		9	8	1.8%	No
RIMBP2		8	8	1.8%	No
CEMIP2		8	8	1.8%	No
MXRA5		8	8	1.8%	No
PAMR1		8	8	1.8%	No
ADGRA2		8	8	1.8%	Yes
PCDHGA12		8	8	1.8%	No
NBEA		8	8	1.8%	No
KCNV1		8	8	1.8%	No
SALL3		8	8	1.8%	No
RBMXL2		8	8	1.8%	No
BICRA		9	8	1.8%	No
GALNT9		8	8	1.8%	No
PLCE1		8	8	1.8%	No
SPTBN5		8	8	1.8%	No
UBR5		9	8	1.8%	Yes
AMOTL2		8	8	1.8%	No
RAB14		8	8	1.8%	No
SRRT		9	8	1.8%	No
BCL11A		9	8	1.8%	Yes
SMOX		8	8	1.8%	No
PARP14		8	8	1.8%	No
SBNO1		9	8	1.8%	No
SETD5		8	8	1.8%	Yes
MAML3		8	8	1.8%	No
ZNF407		8	8	1.8%	No
RADIL		8	8	1.8%	No
BDP1		8	8	1.8%	No
ASH1L		8	8	1.8%	No
PCDHB4		8	8	1.8%	No
PCDHA13		10	8	1.8%	No
PCDHA2		8	8	1.8%	No
ADAMTS9		8	8	1.8%	No
BIRC6		8	8	1.8%	No
PLEKHG5		8	8	1.8%	No
PRR12		8	8	1.8%	No
SIPA1L2		9	8	1.8%	No
PREX1		8	8	1.8%	No
COL20A1		8	8	1.8%	No
PHRF1		10	8	1.8%	No
CACHD1		8	8	1.8%	No
HIVEP3		8	8	1.8%	No
LGR6		8	8	1.8%	No
NPAS3		8	8	1.8%	No
NOD2		8	8	1.8%	No
XPO4		8	8	1.8%	No
PCED1A		9	8	1.8%	No
FBXL17		8	8	1.8%	No
SPHKAP		8	8	1.8%	No
LRRIQ1		9	8	1.8%	No
ZNRF3		8	8	1.8%	Yes
TTBK1		8	8	1.8%	No
CGNL1		8	8	1.8%	No
FBF1		8	8	1.8%	No
HELZ2		8	8	1.8%	No
LRRCC1		8	8	1.8%	No
UBE3B		9	8	1.8%	No
VWA5B2		8	8	1.8%	No
L3MBTL4		8	8	1.8%	No
NUP210L		10	8	1.8%	No
RP1L1		8	8	1.8%	No
LMTK3		8	8	1.8%	No
AGAP1		8	8	1.8%	No
NLRP5		9	8	1.8%	No
UNC5D		8	8	1.8%	No
RBMXL3		9	8	1.8%	No
TRPM6		8	8	1.8%	No
DNAH12		8	8	1.8%	No
OR4C6		8	8	1.8%	No
JMJD1C		8	8	1.8%	No
THSD7A		8	8	1.8%	No
CFAP65		8	8	1.8%	No
COL6A5		9	8	1.8%	No
FAM205A		8	8	1.8%	No
CCDC141		10	8	1.8%	No
CRB2		8	8	1.8%	No
ARSI		8	8	1.8%	No
WDR97		10	8	1.8%	No
HEPHL1		8	8	1.8%	No
ATP9B		8	8	1.8%	No
AGRN		8	8	1.8%	No
RTL1		8	8	1.8%	No
HRNR		8	8	1.8%	No
PCNX3		10	8	1.8%	No
PRRT4		8	8	1.8%	No
CCDC168		8	8	1.8%	No
PLIN4		10	8	1.8%	No
ACACB		7	7	1.6%	No
ADRB3		7	7	1.6%	No
AGT		7	7	1.6%	No
AOX1		7	7	1.6%	No
ABCC6		7	7	1.6%	No
RERE		7	7	1.6%	No
KIF1A		7	7	1.6%	No
CD1E		7	7	1.6%	No
CDH8		7	7	1.6%	No
CDKN1B		8	7	1.6%	Yes
CHRM2		7	7	1.6%	No
CNGA4		7	7	1.6%	No
COL1A1		7	7	1.6%	Yes
COL5A2		7	7	1.6%	No
COL6A1		7	7	1.6%	No
COL19A1		10	7	1.6%	No
CR2		7	7	1.6%	No
NCAN		7	7	1.6%	No
DMBT1		7	7	1.6%	No
DOCK2		7	7	1.6%	No
EIF4G1		7	7	1.6%	No
F13B		7	7	1.6%	No
FLNA		8	7	1.6%	No
MTOR		7	7	1.6%	Yes
GAA		7	7	1.6%	No
GLI1		7	7	1.6%	Yes
GLI3		7	7	1.6%	No
GRIK2		7	7	1.6%	No
GRIK5		7	7	1.6%	No
ARHGAP35		7	7	1.6%	Yes
HDLBP		8	7	1.6%	No
HRC		7	7	1.6%	No
ITGAD		7	7	1.6%	No
ITGB4		7	7	1.6%	No
ITGB5		7	7	1.6%	No
ITPR1		7	7	1.6%	No
KCND2		7	7	1.6%	No
KCNH2		7	7	1.6%	No
KRT6B		7	7	1.6%	No
KRT15		7	7	1.6%	No
LAMB1		7	7	1.6%	No
LRP5		7	7	1.6%	No
MET		7	7	1.6%	Yes
AFDN		8	7	1.6%	Yes
MMP16		7	7	1.6%	No
MST1R		7	7	1.6%	Yes
MYO1A		8	7	1.6%	No
MYO9A		8	7	1.6%	No
MYO9B		7	7	1.6%	No
NELL2		7	7	1.6%	No
NFATC1		8	7	1.6%	No
NOS2		8	7	1.6%	No
NOTCH3		7	7	1.6%	Yes
NPHS1		7	7	1.6%	No
NRAP		7	7	1.6%	No
NUMA1		8	7	1.6%	Yes
PIK3C2B		7	7	1.6%	Yes
PIK3R1		7	7	1.6%	Yes
PLCL1		7	7	1.6%	No
PML		7	7	1.6%	Yes
POLR2A		7	7	1.6%	No
PTCH1		7	7	1.6%	Yes
KDM5A		7	7	1.6%	Yes
RBL2		7	7	1.6%	No
ROBO1		7	7	1.6%	Yes
RPL22		7	7	1.6%	Yes
ATXN1		9	7	1.6%	No
SIPA1		7	7	1.6%	No
SLIT3		7	7	1.6%	No
SNAPC4		7	7	1.6%	No
SORL1		7	7	1.6%	No
SUPT5H		8	7	1.6%	No
ABCC8		7	7	1.6%	No
THBS1		7	7	1.6%	No
TNR		7	7	1.6%	No
TNS1		7	7	1.6%	No
ZBTB16		7	7	1.6%	Yes
NPHS2		7	7	1.6%	No
ALMS1		8	7	1.6%	No
BRPF1		7	7	1.6%	No
KAT6A		7	7	1.6%	Yes
LZTR1		7	7	1.6%	Yes
USP9X		7	7	1.6%	No
CUL3		7	7	1.6%	Yes
PRSS12		7	7	1.6%	No
PTCH2		7	7	1.6%	No
EIF3A		7	7	1.6%	No
ADAM19		7	7	1.6%	No
RPS6KA4		7	7	1.6%	Yes
SPAG9		8	7	1.6%	No
MAP3K6		7	7	1.6%	Yes
PIGQ		7	7	1.6%	No
OTOF		7	7	1.6%	No
ADAMTS2		7	7	1.6%	No
ADAMTS1		7	7	1.6%	No
KIF20B		7	7	1.6%	No
PITPNM1		7	7	1.6%	No
ARHGEF10		8	7	1.6%	No
SH3PXD2A		7	7	1.6%	No
TTLL4		7	7	1.6%	No
MDC1		7	7	1.6%	Yes
ZNF516		7	7	1.6%	No
GREB1		7	7	1.6%	No
HDAC9		7	7	1.6%	No
SETD1A		7	7	1.6%	Yes
PCDHA9		8	7	1.6%	No
STARD8		7	7	1.6%	No
KIAA0586		8	7	1.6%	No
CKAP5		7	7	1.6%	No
FARP2		7	7	1.6%	No
CEP350		8	7	1.6%	No
LRIG2		7	7	1.6%	No
MED24		8	7	1.6%	No
MAGI2		7	7	1.6%	No
SETDB1		7	7	1.6%	Yes
DENND4B		7	7	1.6%	No
PPP4R1		7	7	1.6%	No
NAALADL1		7	7	1.6%	No
SH2D3C		7	7	1.6%	No
DPP3		7	7	1.6%	No
MPHOSPH9		7	7	1.6%	No
IKZF1		7	7	1.6%	Yes
PKDREJ		7	7	1.6%	No
ABCA8		8	7	1.6%	No
ARFGEF1		7	7	1.6%	No
ERN2		7	7	1.6%	No
NRG3		7	7	1.6%	No
RAI1		8	7	1.6%	No
PNPLA6		8	7	1.6%	No
PTPN21		7	7	1.6%	No
WDR6		7	7	1.6%	No
CEP250		7	7	1.6%	No
FZD10		7	7	1.6%	No
NLRP1		7	7	1.6%	No
DHX30		7	7	1.6%	No
NINL		8	7	1.6%	No
CEP131		7	7	1.6%	No
ZNF292		7	7	1.6%	No
UHRF1BP1L		8	7	1.6%	No
EXPH5		7	7	1.6%	No
CIC		8	7	1.6%	Yes
MPRIP		8	7	1.6%	No
NBEAL2		8	7	1.6%	No
ASTN2		9	7	1.6%	No
ANKRD12		7	7	1.6%	No
MTCL1		7	7	1.6%	No
EHBP1		7	7	1.6%	No
NCAPD3		7	7	1.6%	No
DMXL2		7	7	1.6%	No
DNAJC13		7	7	1.6%	No
SYNM		7	7	1.6%	No
CABIN1		7	7	1.6%	No
SRRM2		7	7	1.6%	No
RUSC1		8	7	1.6%	No
